Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v2/pet,3,0,209.29837500443682,206.19008333111802,202.6192499906756,209.29837500443682,129.0,0.5320247932137127,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/v2/pet/findByStatus?status=available,3,0,240.0,570.7085970013092,225.7002079859376,1248.7805830023717,55945.666666666664,0.5320247932137127,0.0,240,240,1200,1200,1200,1200,1200,1200,1200,1200,1200
,Aggregated,6,0,210.0,388.44934016621363,202.6192499906756,1248.7805830023717,28037.333333333332,1.0640495864274253,0.0,230,230,240,240,1200,1200,1200,1200,1200,1200,1200
